Feature,Variable_Type,Missing_%,Statistical_Relevance,Target_Leakage_Risk,Recommended_Status,Reason
Timestamp,Metadata / Identifier,0.00%,None (Survey metadata),None,Exclude,Temporal artifact of Google Forms submission. Irrelevant to psychological prediction.
Age,Demographic (Ordinal),0.00%,Background demographic predictor,None,Candidate,Core demographic factor across young adult cohorts. No missing data after blank row removal.
Gender,Demographic (Nominal),0.00%,Chi-sq p = 0.138 (Subgroup differences),None,Candidate,Essential demographic covariate for subgroup vulnerability and fairness auditing.
Platforms_Used,Survey Feature (Multiselect),0.00%,Multiselect exposure metric,None,Candidate,Captures platform exposure diversity. Suitable for multi-hot / one-hot feature encoding.
Daily_Usage_Hours,Survey Feature (Usage Intensity/Ordinal),0.00%,"Chi-sq p = 0.439, rho = -0.018",None,Candidate,Screen time exposure intensity. Ordinal representation preserves dose-response structure.
Experienced_Cyberbullying,Survey Feature (Victimization/Binary),0.19%,Chi-sq p = 1.67e-31 (Primary predictor),Low (Exposure measure),Candidate,Strongest bivariate predictor of mental health impact. Critical primary feature.
Witnessed_Cyberbullying,Survey Feature (Bystander/Binary),0.00%,Chi-sq p = 0.342,None,Candidate,Measures bystander/witness exposure to online toxicity in respondent network.
Posted_Offensive_Content,Survey Feature (Perpetration/Categorical),0.00%,Chi-sq p = 0.067 (Marginal),None,Candidate,Captures online behavioral conduct and potential bully-victim overlap.
Offensive_Action_Reason,Conditional Survey Feature (Skip-Logic),0.19% (True missing; 71.5% Not Applicable),Sub-sample motivation,None,Review,High skip-logic sparsity. Applicable only to perpetrator subpopulation; requires dedicated indicator encoding.
Cyberbullying_Types_Observed,Survey Feature (Bullying Modality/Multiselect),1.54%,Harassment modality taxonomy,None,Candidate,"Differentiates harassment modalities (hate speech, fake profiles, threats, rumors) via multi-hot encoding."
Incident_Platform,Survey Feature (Incident Context/Nominal),1.93%,Chi-sq p = 0.041 (Significant),None,Candidate,Specific platform where harassment occurred. Shows statistically significant association with impact.
Cyberbullying_Frequency,Survey Feature (Frequency/Ordinal),1.35%,"Chi-sq p = 6.88e-07, rho = 0.242",Low (Chronicity),Candidate,Chronicity and recurrence of cyberbullying. Highly significant dose-response monotonic predictor.
Negative_Emotional_Symptoms,Survey Feature (Symptomatology/Multiselect),1.35% (None = 222 valid responses),High (Symptom manifestation),CRITICAL / HIGH (Target Overlap),Review,"Measures concurrent emotional symptoms (anxiety, depression, anger). Retained in Scenario A; excluded in Scenario B to avoid leakage."
Emotional_Impact_Severity,Survey Feature (Severity Rating/Ordinal 1-5),1.93%,"T-test p = 1.08e-29, rho = 0.319",CRITICAL / HIGH (Target Overlap),Review,Direct numeric proxy of emotional distress severity. Retained in Scenario A; excluded in Scenario B to prevent trivial tautological prediction.
Sought_Help,Survey Feature (Coping Support/Multiselect),1.73%,Help-seeking behavior,Low,Candidate,Measures formal/informal coping intervention and psychological resilience support.
Reason_Not_Reported,Conditional Survey Feature (Skip-Logic),0.19% (True missing; 17.5% Not Applicable),Legal awareness & reporting barriers,None,Review,"Captures institutional/legal awareness hurdles (fear, lack of awareness, privacy). Requires explicit ""Not Applicable"" encoding."
Harassment_Context_Area,Survey Feature (Incident Environment/Nominal),2.70%,Social context of harassment,None,Candidate,"Identifies relational sphere of harassment (school, friends, gaming, stranger, family)."
Action_Taken,Survey Feature (Reactive Response/Multiselect),2.70%,Behavioral coping mechanisms,Low,Candidate,"Documents behavioral protective responses (blocking, reporting, ignoring, telling family)."
